1.0	1.99318651633e-28	1.01877321009e-28
1.1	5.69289046435e-32	2.74984412231e-32
1.2	7.62129440269e-32	2.54193055445e-32
1.3	4.0186626482e-33	1.94508749603e-33
1.4	7.53866876032e-32	2.3507895088e-32
1.5	6.45621654087e-30	1.73166670906e-30
1.6	6.27512277389e-31	3.5145783629e-31
1.7	2.26347925841e-30	1.84930527689e-30
1.8	5.09973421388e-32	1.7159888994e-32
1.9	2.72663018085e-31	1.070651449e-31
1.10	1.4203751884e-32	9.13547771561e-33
1.11	9.21647147084e-33	3.27860915056e-33
1.12	1.99318651633e-28	1.01877321009e-28
1.13	5.69289046435e-32	2.74984412231e-32
1.14	7.62129440269e-32	2.54193055445e-32
1.15	4.0186626482e-33	1.94508749603e-33
1.16	7.53866876032e-32	2.3507895088e-32
1.17	6.45621654087e-30	1.73166670906e-30
1.18	6.27512277389e-31	3.5145783629e-31
1.19	2.26347925841e-30	1.84930527689e-30
1.20	5.09973421388e-32	1.7159888994e-32
1.21	2.72663018085e-31	1.070651449e-31
1.22	1.4203751884e-32	9.13547771561e-33
1.23	9.21647147084e-33	3.27860915056e-33
