1.0	7.13328552285e-28	3.52356993422e-30
1.1	1.19290370991e-30	5.87530212474e-33
1.2	4.74217707993e-31	2.31684591909e-33
1.3	2.02972385126e-31	9.57298068745e-34
1.4	1.09539694744e-31	5.46254586764e-34
1.5	5.43835063833e-30	2.3134328483e-32
1.6	1.22065021806e-30	6.06303211295e-33
1.7	1.42892592359e-29	8.86005133392e-32
1.8	1.33800473822e-31	5.53631070146e-34
1.9	7.78164659685e-31	3.54962593401e-33
1.10	3.15708763165e-32	1.35828805641e-34
1.11	2.22186569948e-32	1.04810334699e-34
2.0	3.98045413878e-28	1.81048325175e-30
2.1	7.35113979234e-30	3.06453109679e-32
2.2	8.13121921654e-31	3.84077407487e-33
2.3	5.00822231691e-31	2.38786611998e-33
2.4	6.27547500752e-32	3.01961323488e-34
2.5	1.96730395863e-30	8.48811179986e-33
2.6	4.99088828606e-31	2.83461774545e-33
2.7	3.48838627302e-30	2.42455222059e-32
2.8	7.87546420945e-32	3.61505298375e-34
2.9	5.48673533747e-31	2.51257562435e-33
2.10	2.69905590948e-32	1.19306957881e-34
2.11	1.2639940942e-32	5.85017533335e-35
